    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	  4.8	    0	0	
   30	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 20.3	    0	0	
   60	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 31.7	    0	0	
   90	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   45	    0	0	
  120	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   56	    0	0	
  150	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 63.2	    0	0	
  180	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 67.2	    0	0	
  210	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 68.4	    0	0	
  240	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 67.9	    0	0	
  270	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 66.5	    0	0	
  300	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 64.4	    0	0	
  330	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   62	    0	0	
  360	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 59.4	    0	0	
  390	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 56.6	    0	0	
  420	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 53.9	    0	0	
  450	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 51.3	    0	0	
  480	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 48.7	    0	0	
  510	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 46.2	    0	0	
  540	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 43.9	    0	0	
  570	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 41.8	    0	0	
  600	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 39.8	    0	0	
  630	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 37.9	    0	0	
  660	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 36.4	    0	0	
  690	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 34.9	    0	0	
  720	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 33.4	    0	0	
  750	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 32.2	    0	0	
  780	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   31	    0	0	
